,date,annual_return,high_low,Investment
198,2021-06-29,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
199,2021-06-30,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
200,2021-07-01,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
201,2021-07-02,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
202,2021-07-05,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
203,2021-07-06,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
204,2021-07-07,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
205,2021-07-08,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
206,2021-07-09,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
207,2021-07-12,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
208,2021-07-13,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
209,2021-07-14,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
210,2021-07-15,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
211,2021-07-16,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
212,2021-07-19,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
213,2021-07-20,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
214,2021-07-22,43.574994197368426,"[-10.837325466666664, 43.574994197368426]",2100000
215,2021-07-23,47.116176347222236,"[-9.559068418181818, 47.116176347222236]",2000000
216,2021-07-26,47.116176347222236,"[-9.559068418181818, 47.116176347222236]",2000000
217,2021-07-27,47.116176347222236,"[-9.559068418181818, 47.116176347222236]",2000000
218,2021-07-28,47.116176347222236,"[-9.559068418181818, 47.116176347222236]",2000000
219,2021-07-29,47.60957397222223,"[-9.0755625, 47.60957397222223]",1900000
220,2021-07-30,47.60957397222223,"[-9.0755625, 47.60957397222223]",1900000
221,2021-08-02,47.60957397222223,"[-9.0755625, 47.60957397222223]",1900000
222,2021-08-03,47.60957397222223,"[-9.0755625, 47.60957397222223]",1900000
223,2021-08-04,47.60957397222223,"[-9.0755625, 47.60957397222223]",1900000
224,2021-08-05,47.60957397222223,"[-9.0755625, 47.60957397222223]",1900000
225,2021-08-06,47.60957397222223,"[-9.0755625, 47.60957397222223]",1900000
226,2021-08-09,47.60957397222223,"[-9.0755625, 47.60957397222223]",1900000
227,2021-08-10,47.60957397222223,"[-9.0755625, 47.60957397222223]",1900000
228,2021-08-11,47.60957397222223,"[-9.0755625, 47.60957397222223]",1900000
229,2021-08-12,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
230,2021-08-13,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
231,2021-08-16,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
232,2021-08-17,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
233,2021-08-18,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
234,2021-08-20,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
235,2021-08-23,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
236,2021-08-24,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
237,2021-08-25,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
238,2021-08-26,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
239,2021-08-27,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
240,2021-08-30,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
241,2021-08-31,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
242,2021-09-01,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
243,2021-09-02,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
244,2021-09-03,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
245,2021-09-06,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
246,2021-09-07,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
247,2021-09-08,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
248,2021-09-09,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
249,2021-09-13,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
250,2021-09-14,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
251,2021-09-15,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
252,2021-09-16,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
253,2021-09-17,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
254,2021-09-20,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
255,2021-09-21,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
256,2021-09-22,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
257,2021-09-23,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
258,2021-09-24,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
259,2021-09-27,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
260,2021-09-28,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
261,2021-09-29,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
262,2021-09-30,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
263,2021-10-01,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
264,2021-10-04,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
265,2021-10-05,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
266,2021-10-06,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
267,2021-10-07,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
268,2021-10-08,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
269,2021-10-11,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
270,2021-10-12,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
271,2021-10-13,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
272,2021-10-14,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
273,2021-10-18,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
274,2021-10-19,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
275,2021-10-20,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
276,2021-10-21,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
277,2021-10-22,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
278,2021-10-25,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
279,2021-10-26,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
280,2021-10-27,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
281,2021-10-28,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
282,2021-10-29,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
283,2021-11-01,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
284,2021-11-02,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
285,2021-11-03,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
286,2021-11-04,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
287,2021-11-08,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
288,2021-11-09,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
289,2021-11-10,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
290,2021-11-11,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
291,2021-11-12,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
292,2021-11-15,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
293,2021-11-16,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
294,2021-11-17,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
295,2021-11-18,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
296,2021-11-22,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
297,2021-11-23,49.284156647058836,"[-8.454867071428572, 49.284156647058836]",1800000
298,2021-11-24,50.1336753125,"[-9.708860174999998, 50.1336753125]",1700000
299,2021-11-25,50.1336753125,"[-9.708860174999998, 50.1336753125]",1700000
300,2021-11-26,50.1336753125,"[-9.708860174999998, 50.1336753125]",1700000
301,2021-11-29,50.1336753125,"[-9.708860174999998, 50.1336753125]",1700000
302,2021-11-30,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
303,2021-12-01,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
304,2021-12-02,52.93730060000001,"[-13.298498800000008, 52.93730060000001]",1600000
